"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor","Estat"
"2019","2","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",4022,"Nou"
"2019","2","2","Eixample","5","el Fort Pienc",10523,"Nou"
"2019","2","2","Eixample","7","la Dreta de l'Eixample",6386,"Nou"
"2019","2","2","Eixample","9","la Nova Esquerra de l'Eixample",3929,"Nou"
"2019","2","3","Sants-Montjuïc","11","el Poble Sec",2194,"Nou"
"2019","2","4","Les Corts","19","les Corts",5906,"Nou"
"2019","2","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",6985,"Nou"
"2019","2","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",5396,"Nou"
"2019","2","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",3854,"Nou"
"2019","2","6","Gràcia","28","Vallcarca i els Penitents",5445,"Nou"
"2019","2","6","Gràcia","31","la Vila de Gràcia",3335,"Nou"
"2019","2","7","Horta-Guinardó","35","el Guinardó",3932,"Nou"
"2019","2","7","Horta-Guinardó","37","el Carmel",2988,"Nou"
"2019","2","7","Horta-Guinardó","38","la Teixonera",2699,"Nou"
"2019","2","7","Horta-Guinardó","39","Sant Genís dels Agudells",2246,"Nou"
"2019","2","7","Horta-Guinardó","40","Montbau",2716,"Nou"
"2019","2","7","Horta-Guinardó","41","la Vall d'Hebron",3431,"Nou"
"2019","2","7","Horta-Guinardó","43","Horta",2779,"Nou"
"2019","2","9","Sant Andreu","60","Sant Andreu",4194,"Nou"
"2019","2","10","Sant Martí","64","el Camp de l'Arpa del Clot",4263,"Nou"
"2019","2","10","Sant Martí","65","el Clot",4482,"Nou"
"2019","2","10","Sant Martí","70","el Besòs i el Maresme",4309,"Nou"
"2019","2","1","Ciutat Vella","1","el Raval",3693,"Usat"
"2019","2","1","Ciutat Vella","2","el Barri Gòtic",5270,"Usat"
"2019","2","1","Ciutat Vella","3","la Barceloneta",4549,"Usat"
"2019","2","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",4034,"Usat"
"2019","2","2","Eixample","5","el Fort Pienc",5205,"Usat"
"2019","2","2","Eixample","6","la Sagrada Família",4414,"Usat"
"2019","2","2","Eixample","7","la Dreta de l'Eixample",5493,"Usat"
"2019","2","2","Eixample","8","l'Antiga Esquerra de l'Eixample",5026,"Usat"
"2019","2","2","Eixample","9","la Nova Esquerra de l'Eixample",4234,"Usat"
"2019","2","2","Eixample","10","Sant Antoni",4223,"Usat"
"2019","2","3","Sants-Montjuïc","11","el Poble Sec",4305,"Usat"
"2019","2","3","Sants-Montjuïc","13","la Marina de Port",2832,"Usat"
"2019","2","3","Sants-Montjuïc","14","la Font de la Guatlla",4566,"Usat"
"2019","2","3","Sants-Montjuïc","15","Hostafrancs",4057,"Usat"
"2019","2","3","Sants-Montjuïc","16","la Bordeta",3285,"Usat"
"2019","2","3","Sants-Montjuïc","17","Sants - Badal",3325,"Usat"
