"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor"
"2019","1","8","Nou Barris","44","Vilapicina i la Torre Llobeta",229
"2019","1","8","Nou Barris","45","Porta",179
"2019","1","8","Nou Barris","46","el Turó de la Peira",147
"2019","1","8","Nou Barris","48","la Guineueta",194
"2019","1","8","Nou Barris","49","Canyelles",150
"2019","1","8","Nou Barris","50","les Roquetes",156
"2019","1","8","Nou Barris","51","Verdun",148
"2019","1","8","Nou Barris","52","la Prosperitat",150
"2019","1","8","Nou Barris","53","la Trinitat Nova",80
"2019","1","8","Nou Barris","55","Ciutat Meridiana",95
"2019","1","9","Sant Andreu","57","la Trinitat Vella",154
"2019","1","9","Sant Andreu","59","el Bon Pastor",148
"2019","1","9","Sant Andreu","60","Sant Andreu",213
"2019","1","9","Sant Andreu","61","la Sagrera",240
"2019","1","9","Sant Andreu","62","el Congrés i els Indians",256
"2019","1","9","Sant Andreu","63","Navas",379
"2019","1","10","Sant Martí","64","el Camp de l'Arpa del Clot",311
"2019","1","10","Sant Martí","65","el Clot",343
"2019","1","10","Sant Martí","66","el Parc i la Llacuna del Poblenou",259
"2019","1","10","Sant Martí","67","la Vila Olímpica del Poblenou",538
"2019","1","10","Sant Martí","68","el Poblenou",363
"2019","1","10","Sant Martí","69","Diagonal Mar i el Front Marítim del Poblenou",486
"2019","1","10","Sant Martí","70","el Besòs i el Maresme",238
"2019","1","10","Sant Martí","71","Provençals del Poblenou",389
"2019","1","10","Sant Martí","72","Sant Martí de Provençals",302
"2019","1","10","Sant Martí","73","la Verneda i la Pau",167
"2019","2","1","Ciutat Vella","1","el Raval",208
"2019","2","1","Ciutat Vella","2","el Barri Gòtic",434
"2019","2","1","Ciutat Vella","3","la Barceloneta",218
"2019","2","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",266
"2019","2","2","Eixample","5","el Fort Pienc",845
"2019","2","2","Eixample","6","la Sagrada Família",255
"2019","2","2","Eixample","7","la Dreta de l'Eixample",584
"2019","2","2","Eixample","8","l'Antiga Esquerra de l'Eixample",492
"2019","2","2","Eixample","9","la Nova Esquerra de l'Eixample",293
"2019","2","2","Eixample","10","Sant Antoni",310
"2019","2","3","Sants-Montjuïc","11","el Poble Sec",269
"2019","2","3","Sants-Montjuïc","13","la Marina de Port",182
"2019","2","3","Sants-Montjuïc","14","la Font de la Guatlla",385
"2019","2","3","Sants-Montjuïc","15","Hostafrancs",422
"2019","2","3","Sants-Montjuïc","16","la Bordeta",200
"2019","2","3","Sants-Montjuïc","17","Sants - Badal",245
"2019","2","3","Sants-Montjuïc","18","Sants",273
"2019","2","4","Les Corts","19","les Corts",433
"2019","2","4","Les Corts","20","la Maternitat i Sant Ramon",357
"2019","2","4","Les Corts","21","Pedralbes",1018
"2019","2","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",543
"2019","2","5","Sarrià-Sant Gervasi","23","Sarrià",859
"2019","2","5","Sarrià-Sant Gervasi","24","les Tres Torres",743
"2019","2","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",645
"2019","2","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",716
"2019","2","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",473
"2019","2","6","Gràcia","28","Vallcarca i els Penitents",313
"2019","2","6","Gràcia","29","el Coll",153
"2019","2","6","Gràcia","30","la Salut",366
"2019","2","6","Gràcia","31","la Vila de Gràcia",380
"2019","2","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",384
"2019","2","7","Horta-Guinardó","33","el Baix Guinardó",274
"2019","2","7","Horta-Guinardó","34","Can Baró",208
"2019","2","7","Horta-Guinardó","35","el Guinardó",243
"2019","2","7","Horta-Guinardó","36","la Font d'en Fargues",286
"2019","2","7","Horta-Guinardó","37","el Carmel",173
"2019","2","7","Horta-Guinardó","38","la Teixonera",147
"2019","2","7","Horta-Guinardó","39","Sant Genís dels Agudells",172
"2019","2","7","Horta-Guinardó","40","Montbau",159
"2019","2","7","Horta-Guinardó","41","la Vall d'Hebron",242
"2019","2","7","Horta-Guinardó","43","Horta",206
"2019","2","8","Nou Barris","44","Vilapicina i la Torre Llobeta",182
"2019","2","8","Nou Barris","45","Porta",169
"2019","2","8","Nou Barris","46","el Turó de la Peira",137
"2019","2","8","Nou Barris","48","la Guineueta",198
"2019","2","8","Nou Barris","49","Canyelles",190
"2019","2","8","Nou Barris","50","les Roquetes",120
"2019","2","8","Nou Barris","51","Verdun",127
"2019","2","8","Nou Barris","52","la Prosperitat",124
"2019","2","8","Nou Barris","53","la Trinitat Nova",90
"2019","2","8","Nou Barris","55","Ciutat Meridiana",90
"2019","2","8","Nou Barris","56","Vallbona",99
"2019","2","9","Sant Andreu","57","la Trinitat Vella",237
