"Any","Nom_Districte","Nom_Barri","media"
"2021","Horta-Guinardó","el Guinardó",3556
"2021","Horta-Guinardó","Horta",3115
"2021","Horta-Guinardó","la Font d'en Fargues",3761
"2021","Horta-Guinardó","la Teixonera",2730
"2021","Horta-Guinardó","la Vall d'Hebron",3824
"2021","Horta-Guinardó","Montbau",2686
"2021","Horta-Guinardó","Sant Genís dels Agudells",2505
"2021","Les Corts","la Maternitat i Sant Ramon",4263
"2021","Les Corts","les Corts",5167
"2021","Les Corts","Pedralbes",5707
"2021","Nou Barris","Can Peguera",2905
"2021","Nou Barris","Canyelles",2494
"2021","Nou Barris","Ciutat Meridiana",1366
"2021","Nou Barris","el Turó de la Peira",2313
"2021","Nou Barris","la Guineueta",2718
"2021","Nou Barris","la Prosperitat",2686
"2021","Nou Barris","la Trinitat Nova",1978
"2021","Nou Barris","les Roquetes",1955
"2021","Nou Barris","Porta",2806
"2021","Nou Barris","Torre Baró",2508
"2021","Nou Barris","Verdun",2350
"2021","Nou Barris","Vilapicina i la Torre Llobeta",3557
"2021","Sant Andreu","el Bon Pastor",2189
"2021","Sant Andreu","el Congrés i els Indians",3824
"2021","Sant Andreu","la Sagrera",3448
"2021","Sant Andreu","la Trinitat Vella",1863
"2021","Sant Andreu","Navas",3161
"2021","Sant Andreu","Sant Andreu",3884
"2021","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou",4432
"2021","Sant Martí","el Besòs i el Maresme",2983
"2021","Sant Martí","el Camp de l'Arpa del Clot",3462
"2021","Sant Martí","el Clot",3803
"2021","Sant Martí","el Parc i la Llacuna del Poblenou",4094
"2021","Sant Martí","el Poblenou",4892
"2021","Sant Martí","la Verneda i la Pau",2338
"2021","Sant Martí","la Vila Olímpica del Poblenou",4894
"2021","Sant Martí","Provençals del Poblenou",3308
"2021","Sant Martí","Sant Martí de Provençals",2736
"2021","Sants-Montjuïc","el Poble Sec",4441
"2021","Sants-Montjuïc","Hostafrancs",4044
"2021","Sants-Montjuïc","la Bordeta",3263
"2021","Sants-Montjuïc","la Font de la Guatlla",3754
"2021","Sants-Montjuïc","la Marina de Port",3432
"2021","Sants-Montjuïc","la Marina del Prat Vermell",2442
"2021","Sants-Montjuïc","Sants",4039
"2021","Sants-Montjuïc","Sants - Badal",3531
"2021","Sarrià-Sant Gervasi","el Putxet i el Farró",5702
"2021","Sarrià-Sant Gervasi","les Tres Torres",5886
"2021","Sarrià-Sant Gervasi","Sant Gervasi - Galvany",6844
"2021","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",6416
"2021","Sarrià-Sant Gervasi","Sarrià",5846
"2021","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",3618
